Time,Building,Method,Consumption_kWh,Actions_Disc
39,Building_5,Meta-RL,0.5604311022006305,0.0
40,Building_5,Meta-RL,0.5380180498750685,0.0
41,Building_5,Meta-RL,0.557731546657763,3.0
42,Building_5,Meta-RL,0.42205788394716004,1.0
43,Building_5,Meta-RL,0.345409891925854,2.0
44,Building_5,Meta-RL,0.32283391604297185,1.0
45,Building_5,Meta-RL,0.2824785344076881,0.0
46,Building_5,Meta-RL,0.27333999851888924,2.0
47,Building_5,Meta-RL,0.26010908772582947,2.0
48,Building_5,Meta-RL,0.20369007404255474,0.0
49,Building_5,Meta-RL,0.17269970771496673,2.0
50,Building_5,Meta-RL,0.12589414056551906,0.0
51,Building_5,Meta-RL,0.095447016963355,2.0
52,Building_5,Meta-RL,0.08452896638421026,0.0
53,Building_5,Meta-RL,0.125227268806412,0.0
54,Building_5,Meta-RL,0.15463036376414468,0.0
55,Building_5,Meta-RL,0.029048856213533418,0.0
56,Building_5,Meta-RL,0.029382240897452755,3.0
57,Building_5,Meta-RL,0.4016329648980615,0.0
58,Building_5,Meta-RL,0.18889849948246706,3.0
59,Building_5,Meta-RL,0.1890241660882195,0.0
60,Building_5,Meta-RL,0.9010516478617726,2.0
61,Building_5,Meta-RL,0.6760300319778232,0.0
62,Building_5,Meta-RL,0.1792661084798354,2.0
63,Building_5,Meta-RL,0.16075740429712096,2.0
64,Building_5,Meta-RL,0.14692844518862616,2.0
65,Building_5,Meta-RL,0.13565734296941787,0.0
66,Building_5,Meta-RL,0.12498734091315086,2.0
67,Building_5,Meta-RL,0.10420444393200319,2.0
68,Building_5,Meta-RL,0.09000759937412423,2.0
69,Building_5,Meta-RL,0.0760503262091378,0.0
70,Building_5,Meta-RL,0.06052458142020019,2.0
71,Building_5,Meta-RL,0.06099503344812784,2.0
72,Building_5,Meta-RL,0.06885203374771713,0.0
73,Building_5,Meta-RL,0.05225118289338916,2.0
74,Building_5,Meta-RL,0.08929658446110134,0.0
75,Building_5,Meta-RL,0.2366272297296065,0.0
76,Building_5,Meta-RL,0.19829212523865253,0.0
77,Building_5,Meta-RL,0.03135371591805818,0.0
78,Building_5,Meta-RL,0.034648346987089504,0.0
79,Building_5,Meta-RL,0.029048856213533418,0.0
80,Building_5,Meta-RL,0.029382240897452755,0.0
81,Building_5,Meta-RL,0.08069473279467149,0.0
82,Building_5,Meta-RL,0.14804105404717105,0.0
83,Building_5,Meta-RL,0.2287461404514988,0.0
84,Building_5,Meta-RL,0.27028312668216325,0.0
85,Building_5,Meta-RL,0.2982792649899017,0.0
86,Building_5,Meta-RL,0.43315886007889054,3.0
87,Building_5,Meta-RL,0.4233022632836484,1.0
88,Building_5,Meta-RL,0.4079107948316431,0.0
89,Building_5,Meta-RL,0.43813812227384336,4.0
90,Building_5,Meta-RL,0.37308925977395235,2.0
91,Building_5,Meta-RL,0.27787973651900066,2.0
92,Building_5,Meta-RL,0.2384584812009046,2.0
93,Building_5,Meta-RL,0.18427935340085086,2.0
94,Building_5,Meta-RL,0.08413756356160115,0.0
95,Building_5,Meta-RL,0.07062317667970251,2.0
96,Building_5,Meta-RL,0.15683144874418578,0.0
97,Building_5,Meta-RL,0.1714667406020079,4.0
98,Building_5,Meta-RL,0.10352903456248111,0.0
99,Building_5,Meta-RL,0.0569885539279322,0.0
100,Building_5,Meta-RL,0.04882376167566782,0.0
101,Building_5,Meta-RL,0.028133510122096375,0.0
102,Building_5,Meta-RL,0.02858379897022828,0.0
103,Building_5,Meta-RL,0.057780699034824114,0.0
104,Building_5,Meta-RL,0.029382240897452755,0.0
105,Building_5,Meta-RL,0.20115260703950608,0.0
106,Building_5,Meta-RL,0.33888573081357737,0.0
107,Building_5,Meta-RL,0.3717835258895742,0.0
108,Building_5,Meta-RL,0.3917438829601774,0.0
109,Building_5,Meta-RL,0.4339021598216748,0.0
110,Building_5,Meta-RL,0.48915509790053124,0.0
111,Building_5,Meta-RL,0.5895272258769871,3.0
112,Building_5,Meta-RL,0.5279483244727341,1.0
113,Building_5,Meta-RL,0.4686134448992965,0.0
114,Building_5,Meta-RL,0.4747180664293907,3.0
115,Building_5,Meta-RL,0.36052142519620756,2.0
116,Building_5,Meta-RL,0.2694872163008861,0.0
117,Building_5,Meta-RL,0.22447051254532568,2.0
118,Building_5,Meta-RL,0.18973335256739923,2.0
119,Building_5,Meta-RL,0.1919177355267418,0.0
120,Building_5,Meta-RL,0.1954587069841442,0.0
121,Building_5,Meta-RL,0.1705055920272911,2.0
122,Building_5,Meta-RL,0.12206739150502705,0.0
123,Building_5,Meta-RL,0.08333461324651076,0.0
124,Building_5,Meta-RL,0.07862816515908354,0.0
125,Building_5,Meta-RL,0.054210965187944035,0.0
126,Building_5,Meta-RL,0.04766685850789689,0.0
127,Building_5,Meta-RL,0.05156643078330855,0.0
128,Building_5,Meta-RL,0.029382240897452755,0.0
129,Building_5,Meta-RL,0.22891106468459252,0.0
130,Building_5,Meta-RL,0.35504220260345926,0.0
131,Building_5,Meta-RL,0.39516873729442026,0.0
132,Building_5,Meta-RL,0.4170713007646524,0.0
133,Building_5,Meta-RL,0.4368213586794763,0.0
134,Building_5,Meta-RL,0.5022592129386023,0.0
135,Building_5,Meta-RL,0.4678416604229002,0.0
136,Building_5,Meta-RL,0.030382385923445693,0.0
137,Building_5,Meta-RL,0.15580932607279707,0.0
138,Building_5,Meta-RL,0.49414630557915884,0.0
139,Building_5,Meta-RL,0.4816593475650357,0.0
140,Building_5,Meta-RL,0.3627403235099451,0.0
141,Building_5,Meta-RL,0.2931703818411865,0.0
142,Building_5,Meta-RL,0.2943390792136176,0.0
143,Building_5,Meta-RL,0.3922561214941759,0.0
144,Building_5,Meta-RL,0.3709341378770373,2.0
145,Building_5,Meta-RL,0.2175994497620322,2.0
146,Building_5,Meta-RL,0.196143329826679,2.0
147,Building_5,Meta-RL,0.17263614543810635,2.0
148,Building_5,Meta-RL,0.14918551211845008,0.0
149,Building_5,Meta-RL,0.13246146510034845,0.0
150,Building_5,Meta-RL,0.08951074690305554,0.0
151,Building_5,Meta-RL,0.20172162592389514,0.0
152,Building_5,Meta-RL,0.3700826795150366,0.0
153,Building_5,Meta-RL,0.29118695873868505,0.0
154,Building_5,Meta-RL,0.3456411731169497,0.0
155,Building_5,Meta-RL,0.40539528800097735,0.0
156,Building_5,Meta-RL,0.35707523156379045,0.0
157,Building_5,Meta-RL,0.4469214761710511,0.0
158,Building_5,Meta-RL,0.5208187215610673,0.0
159,Building_5,Meta-RL,0.5437456820284741,0.0
160,Building_5,Meta-RL,0.3069897109759323,0.0
161,Building_5,Meta-RL,0.509492221762867,0.0
162,Building_5,Meta-RL,0.5832563057981041,2.0
163,Building_5,Meta-RL,0.4198095967250037,0.0
164,Building_5,Meta-RL,0.4555646367613666,3.0
165,Building_5,Meta-RL,0.520889145814095,0.0
166,Building_5,Meta-RL,0.2806924392590623,0.0
167,Building_5,Meta-RL,0.11658013875983791,0.0
168,Building_5,Meta-RL,0.14709648467285089,0.0
169,Building_5,Meta-RL,0.2534746307644597,0.0
170,Building_5,Meta-RL,0.2763894774638458,4.0
171,Building_5,Meta-RL,0.2953858850203599,0.0
172,Building_5,Meta-RL,0.3079822757052076,0.0
173,Building_5,Meta-RL,0.4285897339131982,2.0
174,Building_5,Meta-RL,0.08487961844648109,0.0
175,Building_5,Meta-RL,0.06281131421041777,0.0
176,Building_5,Meta-RL,0.32387331712648404,0.0
177,Building_5,Meta-RL,0.5717078807925762,0.0
178,Building_5,Meta-RL,0.19562326980713246,0.0
179,Building_5,Meta-RL,0.24870611651287675,0.0
180,Building_5,Meta-RL,0.39125564287735975,0.0
181,Building_5,Meta-RL,0.4701623886760072,0.0
182,Building_5,Meta-RL,0.5552452740816023,0.0
183,Building_5,Meta-RL,0.6005640404922622,0.0
184,Building_5,Meta-RL,0.2700035666669973,0.0
185,Building_5,Meta-RL,0.06217662586118129,0.0
186,Building_5,Meta-RL,0.24419169040781835,0.0
187,Building_5,Meta-RL,0.6559017963554201,3.0
188,Building_5,Meta-RL,0.5836671968947152,2.0
189,Building_5,Meta-RL,0.4032655739503795,0.0
190,Building_5,Meta-RL,0.32037704949043855,1.0
191,Building_5,Meta-RL,0.2652841037899155,2.0
192,Building_5,Meta-RL,0.21644811105711922,2.0
193,Building_5,Meta-RL,0.1663171873318935,0.0
194,Building_5,Meta-RL,0.14496113691805812,0.0
195,Building_5,Meta-RL,0.11794935484898864,0.0
196,Building_5,Meta-RL,0.13849611850364904,0.0
197,Building_5,Meta-RL,0.09579105798465787,0.0
198,Building_5,Meta-RL,0.2262366495457967,0.0
199,Building_5,Meta-RL,0.24206916400581163,0.0
200,Building_5,Meta-RL,0.2646513499854216,0.0
201,Building_5,Meta-RL,0.3634065913964736,0.0
202,Building_5,Meta-RL,0.48308302541757425,0.0
203,Building_5,Meta-RL,0.5302371904199169,0.0
204,Building_5,Meta-RL,0.5501287170414776,0.0
205,Building_5,Meta-RL,0.5832774613004237,0.0
206,Building_5,Meta-RL,0.6847790293354526,0.0
207,Building_5,Meta-RL,0.7157149515826103,0.0
208,Building_5,Meta-RL,0.6898133820161428,0.0
209,Building_5,Meta-RL,0.8538646033176669,0.0
210,Building_5,Meta-RL,0.6702981923974053,3.0
211,Building_5,Meta-RL,0.5392579593757776,3.0
212,Building_5,Meta-RL,0.45089554672021287,3.0
213,Building_5,Meta-RL,0.3797473011857034,0.0
214,Building_5,Meta-RL,0.3002392584768554,0.0
215,Building_5,Meta-RL,0.17638709196230234,0.0
216,Building_5,Meta-RL,0.1296806187435192,0.0
217,Building_5,Meta-RL,0.2649394320230702,0.0
218,Building_5,Meta-RL,0.3832701645882185,2.0
219,Building_5,Meta-RL,0.21418387973871053,0.0
220,Building_5,Meta-RL,0.14959878690443762,2.0
221,Building_5,Meta-RL,0.11319674291690285,0.0
222,Building_5,Meta-RL,0.0841798889307959,0.0
223,Building_5,Meta-RL,0.11127734289732938,0.0
224,Building_5,Meta-RL,0.03987288762348465,0.0
225,Building_5,Meta-RL,0.24442622194881003,0.0
226,Building_5,Meta-RL,0.4975097290734787,0.0
227,Building_5,Meta-RL,0.5786283011851872,0.0
228,Building_5,Meta-RL,0.588053682657545,0.0
229,Building_5,Meta-RL,0.6207032173049845,0.0
230,Building_5,Meta-RL,0.7201386703316417,0.0
231,Building_5,Meta-RL,0.8010985211920435,0.0
232,Building_5,Meta-RL,1.184123361871133,0.0
233,Building_5,Meta-RL,0.739875571428459,0.0
234,Building_5,Meta-RL,0.6634986590070358,0.0
235,Building_5,Meta-RL,0.519619585985795,0.0
236,Building_5,Meta-RL,0.4304444930476661,0.0
237,Building_5,Meta-RL,0.4574340344012051,0.0
238,Building_5,Meta-RL,0.38868214766843673,3.0
239,Building_5,Meta-RL,0.3018984602367348,0.0
240,Building_5,Meta-RL,0.46109949220411833,0.0
241,Building_5,Meta-RL,0.4422098367098625,0.0
242,Building_5,Meta-RL,0.2200885280735758,4.0
243,Building_5,Meta-RL,0.14288437273154472,2.0
244,Building_5,Meta-RL,0.12661607421996254,0.0
245,Building_5,Meta-RL,0.2262392547789281,3.0
246,Building_5,Meta-RL,0.11418478358774989,0.0
247,Building_5,Meta-RL,0.15082806527150994,0.0
248,Building_5,Meta-RL,0.4028303257385829,0.0
249,Building_5,Meta-RL,0.5797989995914434,0.0
250,Building_5,Meta-RL,0.03884221746006812,0.0
251,Building_5,Meta-RL,0.04954807363006416,0.0
252,Building_5,Meta-RL,0.29349598187097053,0.0
253,Building_5,Meta-RL,0.21865936939657077,0.0
254,Building_5,Meta-RL,0.3336661930095612,0.0
255,Building_5,Meta-RL,0.42620305381192153,0.0
256,Building_5,Meta-RL,0.45256318033191467,0.0
257,Building_5,Meta-RL,1.1039461046709398,0.0
258,Building_5,Meta-RL,1.103554525006038,0.0
259,Building_5,Meta-RL,0.8514656600932451,0.0
260,Building_5,Meta-RL,0.4838394545600794,0.0
261,Building_5,Meta-RL,0.2948517936117461,0.0
262,Building_5,Meta-RL,0.2972871594118365,3.0
263,Building_5,Meta-RL,0.35188890413784557,0.0
264,Building_5,Meta-RL,0.36037492871770405,0.0
265,Building_5,Meta-RL,0.36212710195725817,0.0
266,Building_5,Meta-RL,0.39166317064129247,4.0
267,Building_5,Meta-RL,0.20879540638152577,2.0
268,Building_5,Meta-RL,0.14722289248868786,2.0
269,Building_5,Meta-RL,0.12254373914044239,2.0
270,Building_5,Meta-RL,0.10378260036330596,0.0
271,Building_5,Meta-RL,0.28349882767239337,2.0
272,Building_5,Meta-RL,0.14486609269360956,0.0
273,Building_5,Meta-RL,0.2406992687466047,0.0
274,Building_5,Meta-RL,0.041419951847775596,0.0
275,Building_5,Meta-RL,0.1339730224736213,0.0
276,Building_5,Meta-RL,0.2102376820001447,0.0
277,Building_5,Meta-RL,0.33213588480671313,0.0
278,Building_5,Meta-RL,0.46834217159748653,0.0
279,Building_5,Meta-RL,0.5403096249083852,0.0
280,Building_5,Meta-RL,0.5546209315665089,0.0
281,Building_5,Meta-RL,1.1215347722488958,0.0
282,Building_5,Meta-RL,1.099770840586736,0.0
283,Building_5,Meta-RL,0.4147303076412641,0.0
284,Building_5,Meta-RL,0.6246721200419179,0.0
285,Building_5,Meta-RL,0.47498785399457055,0.0
286,Building_5,Meta-RL,0.34593607712904273,0.0
287,Building_5,Meta-RL,0.41537867424691005,0.0
288,Building_5,Meta-RL,0.43266463856557213,0.0
289,Building_5,Meta-RL,0.47960274109220596,4.0
290,Building_5,Meta-RL,0.3762803236130494,0.0
291,Building_5,Meta-RL,0.4281971223513418,0.0
292,Building_5,Meta-RL,0.31091449337712584,1.0
293,Building_5,Meta-RL,0.11629143454128762,0.0
294,Building_5,Meta-RL,0.0935915215531116,0.0
295,Building_5,Meta-RL,0.14069885199801396,0.0
296,Building_5,Meta-RL,0.029382240897452755,0.0
297,Building_5,Meta-RL,0.029382240897452755,0.0
298,Building_5,Meta-RL,0.1760202998700059,0.0
299,Building_5,Meta-RL,0.6524569641087176,0.0
300,Building_5,Meta-RL,0.8211996110218539,0.0
301,Building_5,Meta-RL,0.9224854826737986,3.0
302,Building_5,Meta-RL,0.9044731899425978,1.0
303,Building_5,Meta-RL,0.759390608132491,0.0
304,Building_5,Meta-RL,0.19657076021181763,0.0
305,Building_5,Meta-RL,0.5454162129876864,0.0
306,Building_5,Meta-RL,0.853571314252072,0.0
307,Building_5,Meta-RL,0.4332868179603244,0.0
308,Building_5,Meta-RL,0.20032478888038321,0.0
309,Building_5,Meta-RL,0.19120541073477157,0.0
310,Building_5,Meta-RL,0.3881058146749471,0.0
311,Building_5,Meta-RL,0.5856850250306512,0.0
312,Building_5,Meta-RL,0.5265030970952266,0.0
313,Building_5,Meta-RL,0.4035101655203811,0.0
314,Building_5,Meta-RL,0.3151243535390912,0.0
315,Building_5,Meta-RL,0.2778647256465419,2.0
316,Building_5,Meta-RL,0.23413736720040854,2.0
317,Building_5,Meta-RL,0.29979004349571015,3.0
318,Building_5,Meta-RL,0.19055570631986007,3.0
319,Building_5,Meta-RL,0.2185764112439553,0.0
320,Building_5,Meta-RL,0.03987288762348465,0.0
321,Building_5,Meta-RL,0.37463964886206846,0.0
322,Building_5,Meta-RL,0.716522437828076,0.0
323,Building_5,Meta-RL,0.2587779268504362,0.0
324,Building_5,Meta-RL,0.197842373178984,0.0
325,Building_5,Meta-RL,0.2939736007237569,0.0
326,Building_5,Meta-RL,0.46262588210413635,0.0
327,Building_5,Meta-RL,0.5387180323671669,0.0
328,Building_5,Meta-RL,1.0129151529489613,0.0
329,Building_5,Meta-RL,1.157639494045343,0.0
330,Building_5,Meta-RL,1.0914660737326054,0.0
331,Building_5,Meta-RL,0.318570703927737,0.0
332,Building_5,Meta-RL,0.29443028467384763,0.0
333,Building_5,Meta-RL,0.8159816538766286,0.0
334,Building_5,Meta-RL,0.7303225393683543,0.0
335,Building_5,Meta-RL,0.4272972055322842,0.0
336,Building_5,Meta-RL,0.41495931581572665,0.0
337,Building_5,Meta-RL,0.532244681779156,3.0
338,Building_5,Meta-RL,0.4376985155836596,3.0
339,Building_5,Meta-RL,0.25342987016514573,0.0
340,Building_5,Meta-RL,0.21047401812452873,0.0
341,Building_5,Meta-RL,0.42401823466071775,0.0
342,Building_5,Meta-RL,0.22048739154305708,0.0
343,Building_5,Meta-RL,0.4032099793569196,2.0
344,Building_5,Meta-RL,0.029382240897452755,0.0
345,Building_5,Meta-RL,0.029382240897452755,0.0
346,Building_5,Meta-RL,0.14377787018279745,0.0
347,Building_5,Meta-RL,0.22222449686883244,0.0
348,Building_5,Meta-RL,0.29770045896322916,0.0
349,Building_5,Meta-RL,0.3881957479474548,0.0
350,Building_5,Meta-RL,0.522323537619294,0.0
351,Building_5,Meta-RL,0.6041639807839209,0.0
352,Building_5,Meta-RL,0.6180923081893113,0.0
353,Building_5,Meta-RL,0.5513638272109873,0.0
354,Building_5,Meta-RL,0.7895705236694042,0.0
355,Building_5,Meta-RL,1.0565337096345828,0.0
356,Building_5,Meta-RL,0.5557156781062065,0.0
357,Building_5,Meta-RL,0.3643848070023151,0.0
358,Building_5,Meta-RL,0.6514705909818277,0.0
359,Building_5,Meta-RL,0.5834769442253626,0.0
360,Building_5,Meta-RL,0.5090116214284489,0.0
361,Building_5,Meta-RL,0.4099729963868293,0.0
362,Building_5,Meta-RL,0.32815528439489694,0.0
363,Building_5,Meta-RL,0.29132551048873173,2.0
364,Building_5,Meta-RL,0.2239795473657214,0.0
365,Building_5,Meta-RL,0.21206344135643768,3.0
366,Building_5,Meta-RL,0.19965949669055189,0.0
367,Building_5,Meta-RL,0.20467254992079945,0.0
368,Building_5,Meta-RL,0.3116269704615128,0.0
369,Building_5,Meta-RL,0.4871349774145859,2.0
370,Building_5,Meta-RL,0.41435726410029905,0.0
371,Building_5,Meta-RL,0.24873734354355614,0.0
372,Building_5,Meta-RL,0.2962413133559253,0.0
373,Building_5,Meta-RL,0.45504806991308355,0.0
374,Building_5,Meta-RL,0.5991465020972413,0.0
375,Building_5,Meta-RL,0.6513014274506889,0.0
376,Building_5,Meta-RL,0.6651278609130206,0.0
377,Building_5,Meta-RL,0.6287497485383263,0.0
378,Building_5,Meta-RL,0.5669199193229648,0.0
379,Building_5,Meta-RL,0.4334330499403393,0.0
380,Building_5,Meta-RL,0.350258968726883,0.0
381,Building_5,Meta-RL,0.3027014932169621,0.0
382,Building_5,Meta-RL,0.24068216326108943,0.0
383,Building_5,Meta-RL,0.43713937924762186,0.0
384,Building_5,Meta-RL,0.6481797404913043,0.0
385,Building_5,Meta-RL,0.5979112853282087,3.0
386,Building_5,Meta-RL,0.4406191256038803,3.0
387,Building_5,Meta-RL,0.29771004049977506,0.0
388,Building_5,Meta-RL,0.24565773875583385,0.0
389,Building_5,Meta-RL,0.20121584405758094,0.0
390,Building_5,Meta-RL,0.16308863910529076,0.0
391,Building_5,Meta-RL,0.22650489984835026,0.0
392,Building_5,Meta-RL,0.03987288762348465,0.0
393,Building_5,Meta-RL,0.05849459297533742,0.0
394,Building_5,Meta-RL,0.3530484385779983,0.0
395,Building_5,Meta-RL,0.8481103491369909,0.0
396,Building_5,Meta-RL,0.40164342836024636,0.0
397,Building_5,Meta-RL,0.4871156682044742,0.0
398,Building_5,Meta-RL,0.619254646066215,0.0
399,Building_5,Meta-RL,0.6797282356038985,0.0
400,Building_5,Meta-RL,0.6850673258157557,0.0
401,Building_5,Meta-RL,1.1778523432251133,0.0
402,Building_5,Meta-RL,1.1907571477502166,0.0
403,Building_5,Meta-RL,0.9107163234204753,0.0
404,Building_5,Meta-RL,0.6934650252101126,0.0
405,Building_5,Meta-RL,0.5814683528760993,0.0
406,Building_5,Meta-RL,0.46707816501363975,0.0
407,Building_5,Meta-RL,0.44633181010964723,0.0
408,Building_5,Meta-RL,0.4361081055890252,0.0
409,Building_5,Meta-RL,0.5428650343992971,4.0
410,Building_5,Meta-RL,0.5014600471026148,0.0
411,Building_5,Meta-RL,0.38626795597837926,2.0
412,Building_5,Meta-RL,0.17490285670054004,0.0
413,Building_5,Meta-RL,0.15953699108430364,2.0
414,Building_5,Meta-RL,0.206212138853763,0.0
415,Building_5,Meta-RL,0.20255687098379008,0.0
416,Building_5,Meta-RL,0.03987288762348465,0.0
417,Building_5,Meta-RL,0.03946438691245292,0.0
418,Building_5,Meta-RL,0.24753195108070175,0.0
419,Building_5,Meta-RL,0.24853668205253385,0.0
420,Building_5,Meta-RL,0.36555489410109093,0.0
421,Building_5,Meta-RL,0.4466684371961549,0.0
422,Building_5,Meta-RL,0.5513248622248522,0.0
423,Building_5,Meta-RL,0.6007569067276098,0.0
424,Building_5,Meta-RL,0.6021857323935802,0.0
425,Building_5,Meta-RL,1.171268005884042,0.0
426,Building_5,Meta-RL,1.1783838140138667,0.0
427,Building_5,Meta-RL,0.8278605478429456,0.0
428,Building_5,Meta-RL,0.25659951082886545,0.0
429,Building_5,Meta-RL,0.45204314241110677,0.0
430,Building_5,Meta-RL,0.4752569291051889,0.0
431,Building_5,Meta-RL,0.47775653129795387,3.0
432,Building_5,Meta-RL,0.38249288033459755,0.0
433,Building_5,Meta-RL,0.34757631738688877,3.0
434,Building_5,Meta-RL,0.26915841078999203,3.0
435,Building_5,Meta-RL,0.17015598993841985,0.0
436,Building_5,Meta-RL,0.1696409513133826,0.0
437,Building_5,Meta-RL,0.500635134899923,1.0
438,Building_5,Meta-RL,0.18318030131573693,0.0
439,Building_5,Meta-RL,0.20867262732050118,0.0
440,Building_5,Meta-RL,0.03987288762348465,0.0
441,Building_5,Meta-RL,0.03946438691245292,0.0
442,Building_5,Meta-RL,0.11528669996841409,0.0
443,Building_5,Meta-RL,0.19427182125789313,0.0
444,Building_5,Meta-RL,0.27258057097165467,0.0
445,Building_5,Meta-RL,0.3633339409684896,0.0
446,Building_5,Meta-RL,0.49936951995281204,0.0
447,Building_5,Meta-RL,0.5695412196592416,0.0
448,Building_5,Meta-RL,0.5917092932386849,0.0
449,Building_5,Meta-RL,1.185017261257447,0.0
450,Building_5,Meta-RL,1.1849424675146452,0.0
451,Building_5,Meta-RL,0.8751041924290437,0.0
452,Building_5,Meta-RL,0.6684449685029767,0.0
453,Building_5,Meta-RL,0.5249941952415627,0.0
454,Building_5,Meta-RL,0.4528652230360848,0.0
455,Building_5,Meta-RL,0.42574296423594976,0.0
456,Building_5,Meta-RL,0.4084886482294777,0.0
457,Building_5,Meta-RL,0.3953454202552388,3.0
458,Building_5,Meta-RL,0.28119690470236725,0.0
459,Building_5,Meta-RL,0.25860712699993094,2.0
460,Building_5,Meta-RL,0.20353671326507136,0.0
461,Building_5,Meta-RL,0.37744470379228845,2.0
462,Building_5,Meta-RL,0.15308715630324932,0.0
463,Building_5,Meta-RL,0.21950487635201224,0.0
464,Building_5,Meta-RL,0.03987288762348465,0.0
465,Building_5,Meta-RL,0.035541495483039545,0.0
466,Building_5,Meta-RL,0.17469333174071525,0.0
467,Building_5,Meta-RL,0.28668462703854514,0.0
468,Building_5,Meta-RL,0.3809585413579759,0.0
469,Building_5,Meta-RL,0.4576201291299288,0.0
470,Building_5,Meta-RL,0.5520268037484933,0.0
471,Building_5,Meta-RL,0.6396870766328856,0.0
472,Building_5,Meta-RL,0.748896673532489,0.0
473,Building_5,Meta-RL,1.160199903821478,0.0
474,Building_5,Meta-RL,1.1750836013029007,0.0
475,Building_5,Meta-RL,0.3797963005619557,0.0
476,Building_5,Meta-RL,0.5973796860009761,0.0
477,Building_5,Meta-RL,0.5852098516936807,0.0
478,Building_5,Meta-RL,0.652913020116181,0.0
479,Building_5,Meta-RL,0.5389889556915755,0.0
480,Building_5,Meta-RL,0.4378829817420282,0.0
481,Building_5,Meta-RL,0.3740368428479353,0.0
482,Building_5,Meta-RL,0.37076250855134385,3.0
483,Building_5,Meta-RL,0.29525246175594455,0.0
484,Building_5,Meta-RL,0.28431376019923693,2.0
485,Building_5,Meta-RL,0.2307676997845369,0.0
486,Building_5,Meta-RL,0.21027929046641802,2.0
487,Building_5,Meta-RL,0.2472711043742978,0.0
488,Building_5,Meta-RL,0.13993635537890714,2.0
489,Building_5,Meta-RL,0.05860321621662286,0.0
490,Building_5,Meta-RL,0.15670222994213967,0.0
491,Building_5,Meta-RL,0.23570885452732562,0.0
492,Building_5,Meta-RL,0.3088512653713716,0.0
493,Building_5,Meta-RL,0.3904165748250541,0.0
494,Building_5,Meta-RL,0.5296513267382781,0.0
495,Building_5,Meta-RL,0.590778896175481,0.0
496,Building_5,Meta-RL,0.5978377739792895,0.0
497,Building_5,Meta-RL,1.1244780617638623,0.0
498,Building_5,Meta-RL,1.1249661849946766,0.0
499,Building_5,Meta-RL,0.400757610386051,0.0
500,Building_5,Meta-RL,0.40392873877970203,0.0
501,Building_5,Meta-RL,0.7250382093468108,0.0
502,Building_5,Meta-RL,0.6057821927006188,0.0
503,Building_5,Meta-RL,0.5313180923946523,0.0
504,Building_5,Meta-RL,0.4990114279291945,0.0
505,Building_5,Meta-RL,0.5021155049019483,4.0
506,Building_5,Meta-RL,0.3373639277301607,0.0
507,Building_5,Meta-RL,0.2913770273616364,2.0
508,Building_5,Meta-RL,0.25553591807527853,4.0
509,Building_5,Meta-RL,0.19106129351471451,3.0
510,Building_5,Meta-RL,0.12414304418492261,0.0
511,Building_5,Meta-RL,0.19273900032901378,0.0
512,Building_5,Meta-RL,0.36829742879213945,2.0
513,Building_5,Meta-RL,0.09328323014626774,0.0
514,Building_5,Meta-RL,0.23619512741105617,0.0
515,Building_5,Meta-RL,0.41724965592370744,0.0
516,Building_5,Meta-RL,0.02971562377621907,0.0
